Time,Emotion,Confidence,Model
2026-07-27 21:33:19,fearful,57.43,SVM
2026-07-27 21:34:29,fearful,58.41,SVM
2026-07-27 21:34:36,fearful,58.41,SVM
2026-07-27 21:35:01,fearful,57.69,SVM
2026-07-27 21:35:23,fearful,57.58,SVM
2026-07-27 21:41:00,fearful,57.85,SVM
2026-07-27 21:41:25,fearful,57.8,SVM
2026-07-27 21:42:55,fearful,58.06,SVM
2026-07-27 21:43:31,fearful,57.84,SVM
2026-07-28 07:00:18,neutral,91.62,SVM
2026-07-28 10:35:12,calm,39.06,SVM
2026-07-28 10:35:49,fearful,43.34,SVM
2026-07-28 10:39:20,neutral,93.29,SVM
